week_year,STOXX Europe Industry Neutral ESG EUR
22-2019,132.07
23-2019,134.91
24-2019,134.94
25-2019,136.91
26-2019,138.45
27-2019,139.18
28-2019,138.27
29-2019,138.04
30-2019,139.38
31-2019,131.74
32-2019,132.17
33-2019,133.52
34-2019,132.67
35-2019,136.07
36-2019,137.96
37-2019,139.29
38-2019,139.65
39-2019,140.96
