week_year,Dow Jones Precious Metals Index
24-2019,170.27
25-2019,188.22
26-2019,179.72
27-2019,184.54
28-2019,190.01
29-2019,201.22
30-2019,199.21
31-2019,203.84
32-2019,208.34
33-2019,203.89
34-2019,216.85
35-2019,219.34
36-2019,203.7
37-2019,199.02
38-2019,212.98
39-2019,196.87
