week_year,S&P500 ESG
44-2018,225.5971
45-2018,230.213
46-2018,226.3822
47-2018,217.6534
48-2018,228.4659
49-2018,217.9696
50-2018,215.588
51-2018,200.2977
52-2018,206.0491
53-2018,207.7951
01-2019,211.3309
02-2019,213.9379
03-2019,221.0784
04-2019,218.6013
05-2019,224.7272
06-2019,223.5337
07-2019,228.8989
08-2019,230.759
09-2019,230.319
10-2019,229.8536
11-2019,234.3322
12-2019,231.3831
13-2019,237.1884
14-2019,240.0253
15-2019,240.4811
16-2019,240.6282
17-2019,243.5876
18-2019,243.4712
19-2019,233.4413
20-2019,236.0456
21-2019,234.8784
22-2019,228.0226
23-2019,240.1213
24-2019,240.3815
25-2019,244.9243
26-2019,246.2952
27-2019,247.3588
28-2019,250.7386
29-2019,248.3946
30-2019,251.9401
31-2019,237.3669
32-2019,240.53
33-2019,244.0924
34-2019,240.4621
35-2019,244.3809
36-2019,248.9621
37-2019,250.5671
38-2019,250.2709
39-2019,248.9843
